# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
1.94822,0.0,193.4
1.94960,0.0,194.0
1.95099,0.0,194.5
1.95237,0.0,195.1
1.95376,0.0,195.6
1.95514,0.0,196.2
1.95653,0.0,196.8
1.95791,0.0,197.3
1.95929,0.0,197.9
1.96068,0.0,198.5
1.96206,0.0,199.0
1.96345,0.0,199.6
1.96483,0.0,200.2
1.96622,0.0,200.7
1.96760,0.0,201.3
1.96898,0.0,201.8
1.97037,0.0,202.4
1.97175,0.0,203.0
1.97314,0.0,203.5
1.97452,0.0,204.1
1.97591,0.0,204.6
1.97729,0.0,205.2
1.97868,0.0,205.8
1.98006,0.0,206.3
1.98144,0.0,206.9
1.98283,0.0,207.4
1.98421,0.0,208.0
1.98560,0.0,208.5
1.98698,0.0,209.1
1.98837,0.0,209.6
1.98975,0.0,210.2
1.99114,0.0,210.8
1.99252,0.0,211.3
1.99390,0.0,211.9
1.99529,0.0,212.4
1.99667,0.0,213.0
1.99806,0.0,213.5
1.99944,0.0,214.1
2.00083,0.0,214.6
2.00221,0.0,215.2
2.00359,0.0,215.7
2.00498,0.0,216.3
2.00636,0.0,216.8
2.00775,0.0,217.4
2.00913,0.0,217.9
2.01052,0.0,218.5
2.01190,0.0,219.0
2.01329,0.0,219.6
2.01467,0.0,220.1
2.01605,0.0,220.7
2.01744,0.0,221.2
2.01882,0.0,221.8
2.02021,0.0,222.3
2.02159,0.0,222.9
2.02298,0.0,223.4
2.02436,0.0,224.0
2.02574,0.0,224.5
2.02713,0.0,225.1
2.02851,0.0,225.6
2.02990,0.0,226.2
2.03128,0.0,226.7
2.03267,0.0,227.3
2.03405,0.0,227.8
2.03544,0.0,228.4
2.03682,0.0,228.9
2.03820,0.0,229.4
2.03959,0.0,230.0
2.04097,0.0,230.5
2.04236,0.0,231.1
2.04374,0.0,231.6
2.04513,0.0,232.2
2.04651,0.0,232.7
2.04789,0.0,233.2
2.04928,0.0,233.8
2.05066,0.0,234.3
2.05205,0.0,234.9
2.05343,0.0,235.4
2.05482,0.0,236.0
2.05620,0.0,236.5
2.05759,0.0,237.0
2.05897,0.0,237.6
2.06035,0.0,238.1
2.06174,0.0,238.7
2.06312,0.0,239.2
2.06451,0.0,239.7
2.06589,0.0,240.3
2.06728,0.0,240.8
2.06866,0.0,241.3
2.07005,0.0,241.9
2.07143,0.0,242.4
2.07281,0.0,243.0
2.07420,0.0,243.5
2.07558,0.0,244.0
2.07697,0.0,244.6
2.07835,0.0,245.1
2.07974,0.0,245.6
2.08112,0.0,246.2
2.08250,0.0,246.7
2.08389,0.0,247.2
2.08527,0.0,247.8
2.08666,0.0,248.3
2.08804,0.0,248.8
2.08943,0.0,249.4
2.09081,0.0,249.9
2.09220,0.0,250.4
2.09358,0.0,251.0
2.09496,0.0,251.5
2.09635,0.0,252.0
2.09773,0.0,252.6
2.09912,0.0,253.1
2.10050,0.0,253.6
2.10189,0.0,254.2
2.10327,0.0,254.7
2.10465,0.0,255.2
2.10604,0.0,255.7
2.10742,0.0,256.3
2.10881,0.0,256.8
2.11019,0.0,257.3
2.11158,0.0,257.9
2.11296,0.0,258.4
2.11435,0.0,258.9
2.11573,0.0,259.4
2.11711,0.0,260.0
2.11850,0.0,260.5
2.11988,0.0,261.0
2.12127,0.0,261.6
2.12265,0.0,262.1
2.12404,0.0,262.6
2.12542,0.0,263.1
2.12680,0.0,263.7
2.12819,0.0,264.2
2.12957,0.0,264.7
2.13096,0.0,265.2
2.13234,0.0,265.8
2.13373,0.0,266.3
2.13511,0.0,266.8
2.13650,0.0,267.3
2.13788,0.0,267.9
2.13926,0.0,268.4
2.14065,0.0,268.9
2.14203,0.0,269.4
2.14342,0.0,269.9
2.14480,0.0,270.5
2.14619,0.0,271.0
2.14757,0.0,271.5
2.14895,0.0,272.0
2.15034,0.0,272.5
2.15172,0.0,273.1
2.15311,0.0,273.6
2.15449,0.0,274.1
2.15588,0.0,274.6
2.15726,0.0,275.1
2.15865,0.0,275.7
2.16003,0.0,276.2
2.16141,0.0,276.7
2.16280,0.0,277.2
2.16418,0.0,277.7
2.16557,0.0,278.3
2.16695,0.0,278.8
2.16834,0.0,279.3
2.16972,0.0,279.8
2.17111,0.0,280.3
2.17249,0.0,280.8
2.17387,0.0,281.4
2.17526,0.0,281.9
2.17664,0.0,282.4
2.17803,0.0,282.9
2.17941,0.0,283.4
2.18080,0.0,283.9
2.18218,0.0,284.4
2.18356,0.0,285.0
2.18495,0.0,285.5
2.18633,0.0,286.0
2.18772,0.0,286.5
2.18910,0.0,287.0
2.19049,0.0,287.5
2.19187,0.0,288.0
2.19326,0.0,288.6
2.19464,0.0,289.1
2.19602,0.0,289.6
2.19741,0.0,290.1
2.19879,0.0,290.6
2.20018,0.0,291.1
2.20156,0.0,291.6
2.20295,0.0,292.1
2.20433,0.0,292.6
2.20571,0.0,293.2
2.20710,0.0,293.7
2.20848,0.0,294.2
2.20987,0.0,294.7
2.21125,0.0,295.2
2.21264,0.0,295.7
2.21402,0.0,296.2
2.21541,0.0,296.7
2.21679,0.0,297.2
2.21817,0.0,297.7
2.21956,0.0,298.2
2.22094,0.0,298.8
2.22233,0.0,299.3
2.22371,0.0,299.8
2.22510,0.0,300.3
2.22648,0.0,300.8
2.22786,0.0,301.3
2.22925,0.0,301.8
2.23063,0.0,302.3
2.23202,0.0,302.8
2.23340,0.0,303.3
2.23479,0.0,303.8
2.23617,0.0,304.3
2.23756,0.0,304.8
2.23894,0.0,305.3
2.24032,0.0,305.8
2.24171,0.0,306.3
2.24309,0.0,306.8
2.24448,0.0,307.3
2.24586,0.0,307.8
2.24725,0.0,308.3
2.24863,0.0,308.8
2.25002,0.0,309.3
2.25140,0.0,309.8
2.25278,0.0,310.3
2.25417,0.0,310.9
